Question,Given Label,Predicted Label
In what area of the world was the Six Day War fought ?,LOC:other,what
How many wives did Brigham Young have ?,NUM:count,unknown
Where can I find information on George Bush ?,LOC:other,unknown
What field sport did dentist William Beers promote and write a standard book of rules for ?,ENTY:sport,what
What species is a colt ?,ENTY:animal,what
What is Jane Goodall known for ?,DESC:reason,what
Who was Randy Steven Craft 's lawyer ?,HUM:ind,who
What company tabulates the ballots in voting for the Academy Awards ?,HUM:gr,what
Who earns their money the hard way ?,HUM:ind,who
How can I get some free technical information on Electric Vehicle ?,DESC:manner,unknown
What was Connecticut 's first constitution called ?,ENTY:cremat,what
What 's the only work by Michelangelo that bears his signature ?,ENTY:cremat,what
When did the Berlin Wall go up ?,NUM:date,unknown
Where can I buy movies on videotape online ?,LOC:other,unknown
What American poet wrote : `` Good fences make good neighbors '' ?,HUM:ind,what
What Polynesian people inhabit New Zealand ?,HUM:gr,what
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",NUM:money,unknown
What film or films has Jude Law appeared in ?,ENTY:cremat,what
"What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''",DESC:def,what
What day of the week sees the most fatal car accidents ?,NUM:date,what
How many Gutenberg Bibles are there ?,NUM:count,unknown
What country has the best defensive position in the board game Diplomacy ?,LOC:country,what
Who is the president of Stanford University ?,HUM:ind,who
What organization was founded by the Rev. Jerry Falwell ?,HUM:gr,what
What Russian seaport has a name meaning `` Lord of the East '' ?,LOC:city,what
Name 11 famous martyrs .,HUM:ind,unknown
How can I register my website in Yahoo for free ?,DESC:manner,unknown
What is the mascot for Notre Dame University ?,ENTY:other,what
What kind of education do I need to become a flight attendant ?,ENTY:other,what
Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?,HUM:ind,who
Who was the author of `` John Brown 's Body '' ?,HUM:ind,who
What is the leading pecan and peanut growing state ?,LOC:state,what
Who wrote The Night of the Iguana ?,HUM:ind,who
What makes popcorn pop ?,DESC:reason,what
Who is the founder of Scientology ?,HUM:ind,who
What year did Germany sign its nonaggression pact with the Soviet Union ?,NUM:date,what
What was the Bridge of San Luis Rey made of ?,ENTY:substance,what
What are the distinct physical characterstics of the Arabian horse ?,DESC:desc,what
Who is the voice of Miss Piggy ?,HUM:ind,who
"Where is the actress , Marion Davies , buried ?",LOC:other,unknown
"What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?",HUM:ind,unknown
What actor 's autobiography is titled All My Yesterdays ?,HUM:ind,what
Who banned Peter Rose from baseball for betting on games ?,HUM:ind,who
What is the abbreviation of the company name ` General Motors ' ?,ABBR:abb,what
Define the Pheonix Club ?,DESC:def,unknown
What city has the world 's longest subway system ?,LOC:city,what
What instrument is Ray Charles best known for playing ?,ENTY:instru,what
What language is mostly spoken in Brazil ?,ENTY:lang,what
When did CNN go on the air ?,NUM:date,when
What girl 's name is `` Teddy '' an affectionate form of ?,HUM:ind,what
What astronomical phenomenon takes place in Jan. 1999 ?,ENTY:event,what
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,LOC:other,unknown
What is the full name of the PLO ?,ABBR:exp,what
How many double-word-score spaces are there on a Scrabble Crossword Game board ?,NUM:count,unknown
What is the current ticket fare from from Cairo to Barbados ?,NUM:money,what
What city was President William McKinley shot in ?,LOC:city,what
What color bottles do good Rhine wines come in ?,ENTY:color,what
When did Muhammad live ?,NUM:date,when
